SampleName,SampleID,SampleDescription
P2254_138,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2
P2254_146,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1
P2254_148,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3
P2254_159,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2
P2254_160,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3
P2254_161,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1
P2254_162,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2
P2254_163,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3
P2254_170,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1
P2254_171,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2
P3462_103,A-S56-4,Spruce ecotype 56 (latitude) - light condition A - replicate 4
P3462_104,A-S56-5,Spruce ecotype 56 (latitude) - light condition A - replicate 5
P3462_105,A-S67-4,Spruce ecotype 67 (latitude) - light condition A - replicate 4
P3462_106,B-S56-4,Spruce ecotype 56 (latitude) - light condition B - replicate 4
P3462_107,B-S56-5,Spruce ecotype 56 (latitude) - light condition B - replicate 5
P3462_108,B-S56-6,Spruce ecotype 56 (latitude) - light condition B - replicate 6
P3462_109,B-S67-4,Spruce ecotype 67 (latitude) - light condition B - replicate 4
P3462_110,D-S67-4,Spruce ecotype 67 (latitude) - light condition D - replicate 4
